scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord,species
Pinus strobus L.,-70.724234,43.98136,2025,1,3,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.855627,44.490497,2025,1,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.41275,43.691446,2025,1,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-67.109177,45.081202,2025,1,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.67715,43.980679,2025,1,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.762474,44.708617,2025,1,13,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.154606,44.666261,2025,1,16,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.154621,44.666263,2025,1,16,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.362454,43.592288,2025,1,15,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.147103,44.678292,2025,1,17,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.4105,44.670963,2025,1,19,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449165,43.680162,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449088,43.680233,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449084,43.68023,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449068,43.680288,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.448995,43.680231,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449253,43.680175,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449381,43.680619,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449282,43.680192,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449294,43.680179,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449225,43.680251,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449221,43.680195,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449534,43.680132,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449062,43.680246,2025,1,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.176967,44.338322,2025,1,25,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449226,43.680195,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449213,43.680235,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449248,43.680281,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449044,43.680308,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449318,43.680173,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449252,43.680226,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449093,43.680212,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449487,43.680133,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.449192,43.68016,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.4492,43.680196,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.451417,43.684263,2025,1,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.2976,43.774017,2025,2,3,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.45272,43.680787,2025,2,3,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.256272,44.37311,2025,2,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.453525,43.668847,2025,2,5,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.950632,43.880504,2025,2,5,HUMAN_OBSERVATION,Pinus strobus
